;Codigo;Nombre;Población;Calle;Teléfono 1;Centro;FechaCreación;GestorVinculador;Nombre Gestor Vinculador;TM;latitude;longitude
0;20001543;Tienda Mixta Leyes;Santiago de cali;CR 43 # 39 A - 13;3708925;2000.0;2/11/2018;;;1.0;3.4097779;-76.51418869999999
1;20002837;Tienda Super R;Santiago de cali;CR 83 # 34 - 26 ;3155769376;2000.0;21/12/2018;;;;3.3855764;-76.5217881
2;20003405;Tienda Mixta Geovanny;Santiago de cali;CL 72 T # 28 D - 4 - 34;3152365724;2000.0;31/12/2018;;;1.0;3.4238003;-76.49109779999999
3;20007444;Julio;Medellín;CR 50C#93-119;5877384;3000.0;20/11/2019;20006628.0;TIENDA PRUEBA GESTOR ZONA 10;2.0;6.285688899999999;-75.5598469
4;20007452;Distribuidora 2;Medellín;CR 53#93-68;5812599;3000.0;20/11/2019;20006628.0;TIENDA PRUEBA GESTOR ZONA 10;2.0;6.2859899;-75.5629532
5;20007733;Paiz;Medellín;CR 50B#93-59;3148408781;3000.0;28/11/2019;20006248.0;TIENDA PRUEBA VINCULACION DIANA MES;2.0;6.285163799999999;-75.55923229999999
6;20009871;Tienda la esquina;Medellín;CL 96#52-71;3105213201;3000.0;10/01/2020;20004654.0;Tienda Gestor Medellin Zona;2.0;6.2885857;-75.5631765
7;20012714;Tienda Charrupi;Santiago de cali;CL 40#54-90;300100903;2000.0;9/05/2020;;;2.0;3.3975026;-76.51834099999999
8;20014511;Tienda Martha;Santiago de Cali;CR 44 A # 37 - 32;3046471048;2000.0;29/08/2020;20006228.0;Laura Cedeño - Gestora Vinculador;1.0;3.4096107;-76.5168904
9;20014919;Papelería y variedades estefania;Santiago de cali;CL 54#83C2-38;3177950309;2000.0;17/09/2020;;;2.0;3.3798155;-76.5107443
10;20014920;Tiendas Pronto plus;Santiago de cali;CR 1 BIS#58-16;3215083034;2000.0;18/09/2020;;;2.0;3.4805669;-76.4979084
11;20014921;tienda salome;Santiago de cali;CL 72V # 28E - 56;3218322172;2000.0;18/09/2020;3000019.0;YHONNY JAIR ANDRADE BRAVO;1.0;3.4197295;-76.49251009999999
12;20014922;Tienda danna;Medellín;CR 95 A#70 GB-100 ;3057695264;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.2874586;-75.5999181
13;20014923;Granero el plan 2;Medellín;CR 49B#120-03;3023886816;3000.0;18/09/2020;20014870.0;Dayhana Meneses - Gestor Zona;1.0;6.304295199999999;-75.55113709999999
14;20014924;Tienda Doña Gloria;Medellín;CR 47#110-62;3023388850;3000.0;18/09/2020;;;2.0;6.3001469;-75.55028120000001
15;20014925;Mercados rapunzel;Medellín;CL 70 GB#95-96  ;3116158050;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.2876014;-75.5979849
16;20014926;YURI DONDE MICHEL;Medellín;CL 70GA#95-28 ;3006546326;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.2476376;-75.56581530000001
17;20014927;La Esquina;Medellín;CL 113CC # 63 - 30;3135031988;3000.0;18/09/2020;3000030.0;ALFONSO TABORDA TABORDA;1.0;6.3084375;-75.5588461
18;20014928;SUPER TIENDA LOS LOPEZ;Medellín;CL 70GA#95-138 ;3124766953;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.2476376;-75.56581530000001
19;20014929;LA TIRNDA V;Medellín;CL 70G#95-115 ;3016394858;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.2542535;-75.6257748
20;20014930;Tienda Sandra;Medellín;CR 42C # 107E - 42;3217231238;3000.0;18/09/2020;3000041.0;SARA ALEJANDRA LONDOÑO BALLESTEROS;1.0;6.296657199999999;-75.5476918
21;20014931;COLIBRI;Medellín;CL 70F#95-10 ;3192362630;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.288021899999999;-75.5982902
22;20014932;Tienda la curva;Medellín;CL 56B#19-22;3122110988;3000.0;18/09/2020;20011348.0;TIENDA DE PRUEBA Gestor zona 12;1.0;6.242433399999999;-75.54264789999999
23;20014933;granero Sepúlveda;Santiago de cali;CR 74B # 1B - 01;3136962149;2000.0;18/09/2020;3000019.0;YHONNY JAIR ANDRADE BRAVO;1.0;3.3894008;-76.55528369999999
24;20014934;economía;Santiago de cali;CL 75 # 1B - 03;3216336633;2000.0;18/09/2020;3000019.0;YHONNY JAIR ANDRADE BRAVO;1.0;3.4962472;-76.49372850000002
25;20014935;economía;Santiago de cali;CL 75 # 1B - 03;3216336633;2000.0;18/09/2020;3000019.0;YHONNY JAIR ANDRADE BRAVO;1.0;3.4962472;-76.49372850000002
26;20014936;Panaderia las delicias;Medellín;CL 70 F#95-18 ;3147413473;3000.0;18/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.288021899999999;-75.5982902
27;20014937;micelanea villa laguna;Santiago de cali;CR 74 # 1 - 47;3167236571;2000.0;18/09/2020;3000019.0;YHONNY JAIR ANDRADE BRAVO;1.0;3.3901084;-76.5544065
28;20014938;Tienda mixta claun;Medellín;CR 55#22A-17;3002274960;3000.0;18/09/2020;20011348.0;TIENDA DE PRUEBA Gestor zona 12;1.0;6.224523599999999;-75.5821862
29;20014939;Fruver c y b;Sabaneta;CL 75SUR#45-129;3167727821;3000.0;18/09/2020;;;2.0;6.1501157;-75.6190593
30;20014940;Licorera estefanny;Medellín;CR 77B#108-64;3235030753;3000.0;18/09/2020;;;2.0;6.307271699999999;-75.57415619999999
31;20014941;Tienda Mixta Guadalupe;Medellín;CL 46 # 32 - 30;3022224144;3000.0;18/09/2020;3000022.0;ALEJANDRO JEREZ LONDOÑO;1.0;6.239300399999999;-75.55586339999999
32;20014942;Rapi exprees;Santiago de cali;CR 62C#6A-39;3136448916;2000.0;18/09/2020;;;2.0;3.4025425;-76.5449514
33;20014943;Tienda La sexta;Santiago de cali;AV 6#22A-16;3152664059;2000.0;18/09/2020;;;2.0;3.453053;-76.5646964
34;20010235;Panadería El Encanto;Santiago de Cali;CR 25BIS#70-04;3164911917;2000.0;18/01/2020;20006223.0;Ximena Jaramillo - Gestor Zona;2.0;3.4342423;-76.50881919999999
35;20014646;tienda mixta;Yumbo;CR 3 OESTE # 1 - 114;3113016119;2000.0;4/09/2020;3000002.0;LORENA MANCILLA MOSQUERA;1.0;3.5853785;-76.4995357
36;20006976;La ventanita de edelmira;Medellín;CR 49A#110-147;3225793997;3000.0;12/11/2019;20004652.0;Tienda Gestor Medellin Zona 2;2.0;6.301235399999999;-75.5517301
37;20014683;Su Despensa;Santiago de cali;CR 23 # 03 - 59;3145343391;2000.0;7/09/2020;;;2.0;3.439006;-76.5382884
38;20014748;salsamentaria los paolos;Santiago de cali;CR 3 # 46A - 39;3153508981;2000.0;10/09/2020;3000011.0;ALEJANDRA MARIA CASTILLO ANGULO;1.0;3.464613;-76.5043416
39;20014749;salsamentaria los paolos;Santiago de cali;CR 3 # 46A - 39;3153508981;2000.0;10/09/2020;3000011.0;ALEJANDRA MARIA CASTILLO ANGULO;1.0;3.464613;-76.5043416
40;20014649;Tienda el bararon;Santiago de cali;CL 120 H#22-62;3116415648;2000.0;4/09/2020;;;2.0;3.4271814;-76.46279419999999
41;20014271;Tienda tres y una;Santiago de Cali;CR 26 O#108-74;3186887733;2000.0;20/08/2020;;;2.0;3.4180717;-76.4744168
42;20010303;Rancho De Santa Elena;Santiago de Cali;DG 70N#25H-26;3215260568;2000.0;20/01/2020;20006223.0;Ximena Jaramillo - Gestor Zona;2.0;3.4925591;-76.5167009
43;20001263;Tienda Mixta Los Paisas;Santiago de cali;CL 26 B # 24 A -30;3122002083;2000.0;8/08/2018;;;1.0;3.4333917;-76.5174275
44;20003048;Supermarket Peto;Santiago de cali;CR 62 # 2 B - 08;3234643269;2000.0;27/12/2018;;;;3.4043422;-76.55069910000002
45;20010309;Tienda Mixta Axel;Santiago de Cali;CR 28 A#72 J-100;3135221474;2000.0;20/01/2020;;;2.0;3.4260281;-76.4935173
46;20007042;Bello horizonte;Itaguí;CL 53A#31AE-27;3218520355;3000.0;13/11/2019;20006249.0;TIENDA PRUEBA VINCULACION ALEJANDRA;2.0;6.172374;-75.606517
47;20003790;Rapitiendaa Daniel;Santiago de cali;CL 10 # 13 - 46;8856035;2000.0;30/01/2019;;;;3.4439969;-76.53231269999999
48;20013616;Tienda Colombia;Candelaria;CR 9A # 22B-41;3135901693;2000.0;14/07/2020;20006228.0;Laura Cedeño - Gestora Vinculador;2.0;4.6060989;-74.0738748
49;20009929;Margarita;Medellín;CL 103 # 40- 22;3112165655;3000.0;11/01/2020;20006627.0;Tienda Gestor Medellin Zona;2.0;6.292369;-75.5483615
50;20010549;Lago Tiendas;Santiago de Cali;CR 26#72F-76;3214568530;2000.0;27/01/2020;;;2.0;3.4336785;-76.4904456
51;20010777;La Florecida;Envigado;TV 36 A SUR # 29-88;3218016378;3000.0;30/01/2020;20006248.0;TIENDA PRUEBA VINCULACION DIANA MES;2.0;6.167758999999999;-75.57965659999999
52;20008235;Tienda el Castillo;Santiago de cali;CR 28 E - 5 # 72 B - 73 ;3146550884;2000.0;10/12/2019;20005953.0;TIENDA PRUEBA VINCULACION LAURA;2.0;3.4198571;-76.49463899999999
53;20014751;Variedades Gelmi;Santiago de cali;CR 43B#48A-72;3166034114;2000.0;10/09/2020;20006228.0;Laura Cedeño - Gestora Vinculador;2.0;3.4021343;-76.5087676
54;20009677;Los Recuerdos De Ella;Medellín;CL 113A#64C-62;3046193297;3000.0;3/01/2020;20004880.0;TIENDA GESTOR MEDELLIN ZONA 5;2.0;6.308447999999999;-75.5620765
55;20014752;Tienda Mixta;Santiago de cali;CR 42D#48-93;3172666155;2000.0;10/09/2020;20006228.0;Laura Cedeño - Gestora Vinculador;2.0;3.4036075;-76.50777599999999
56;20007284;Las palmas;Santiago de cali;CR 26H#87-67;3137505767;2000.0;17/11/2019;20006221.0;Angie Paola Guapi - Gestor Zona;2.0;3.4311504;-76.4797415
57;20000780;Tienda Mixta;Santiago de cali;CL 72 # 23 A 11;6632754;2000.0;20/10/2017;;;1.0;3.4427262;-76.48921659999999
58;20005902;Betty;Santiago de cali;CR 28-2#103-50;3114003304;2000.0;16/09/2019;;;2.0;3.4142526;-76.4789698
59;20004810;Tienda la muneca;Itaguí;CL 36#63-70;5973356;3000.0;26/07/2019;20004652.0;Tienda Gestor Medellin Zona 2;1.0;6.1722103;-75.628959
60;20014753;Tienda Mixta;Santiago de cali;CR 42D#48-18;3233727534;2000.0;10/09/2020;20006228.0;Laura Cedeño - Gestora Vinculador;2.0;3.4039627;-76.5083392
61;20010988;La Economía;Santiago de Cali;CR 23A#72D3-28;3186370387;2000.0;7/02/2020;20006223.0;Ximena Jaramillo - Gestor Zona;2.0;3.4424726;-76.4885793
62;20014558;Las Estrellas;Medellín;CR 92 # 92-02 ;3147661855;3000.0;1/09/2020;20005905.0;Tienda gestor Medellín zona 3;2.0;6.246989699999999;-75.6163553
63;20003028;Tienda Mixta;Santiago de cali;CR 83 D ;3117747956;2000.0;27/12/2018;;;;3.3836775;-76.51711449999999
64;20014702;Granero Armenia;Santiago de cali;CR 11G#28-04;3043796682;2000.0;7/09/2020;;;2.0;3.4477697;-76.51596239999999
