,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
0,0,20001543,Tienda Mixta Leyes,Republica De Israel,COMUNA 16,Cali,Valle del Cauca,CR 43 # 39 A - 13,CR 43 , 39 A - 13,CR,43 , 39 A , 13,CR 43 #39A- 13,3.4097779000000004,-76.51418869999998
1,1,20002837,Tienda Super R,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 83 # 34 - 26 CA 50 CON M,CR 83 , 34 - 26 CA 50 CON M,CR,83 , 34 , 26 CA 50 CON M,CR 83 #34- 26 CA 50 CON M,3.3990699,-76.51973170000001
2,2,20003405,Tienda Mixta Geovanny,Los Robles,COMUNA 13,Cali,Valle del Cauca,CL 72 T # 28 D - 4 - 34,CL 72 T , 28 D - 4 - 34,CL,72 T , 28 D , 4 - 34,CL 72T #28D- 4 - 34,3.4223941,-76.491855
7,7,20012714,Tienda Charrupi,Ciudad 2000,COMUNA 17,Cali,Valle del Cauca,CL 40#54-90,CL 40,54-90,CL,40,54,90,CL 40 #54-90,3.3888797,-76.52067029999998
8,8,20014511,Tienda Martha,Not Specified,COMUNA 16,Cali,Valle del Cauca,CR 44 A # 37 - 32,CR 44 A , 37 - 32,CR,44 A , 37 , 32,CR 44A #37- 32,3.4096107000000004,-76.51689040000001
9,9,20014919,Papelería Y Variedades Estefania,Not Specified,Comuna 16,Cali,Valle del Cauca,CL 54#83C2-38,CL 54,83C2-38,CL,54,83C2,38,CL 54 #83C2-38,3.3796629,-76.5107507
10,10,20014920,Tiendas Pronto Plus,Not Specified,COMUNA 5,Cali,Valle del Cauca,CR 1 BIS#58-16,CR 1 BIS,58-16,CR,1 BIS,58,16,CR 1BIS #58-16,3.4805669000000004,-76.4979084
11,11,20014921,Tienda Salome,Not Specified,COMUNA 13,Cali,Valle del Cauca,CL 72V # 28E - 56,CL 72V , 28E - 56,CL,72V , 28E , 56,CL 72V #28E- 56,3.4197312999999996,-76.4925122
23,23,20014933,Granero Sepúlveda,Not Specified,COMUNA 18,Cali,Valle del Cauca,CRA 74B # 1B - 01,CRA 74B , 1B - 01,CRA,74B , 1B , 01,CRA 74B #1B- 01,3.3894008,-76.55528369999998
24,24,20014934,Economía,Not Specified,COMUNA 6,Cali,Valle del Cauca,CL 75 # 1B - 03,CL 75 , 1B - 03,CL,75 , 1B , 03,CL 75 #1B- 03,3.4962472,-76.49372850000002
25,25,20014935,Economía,Not Specified,COMUNA 6,Cali,Valle del Cauca,CL 75 # 1B - 03,CL 75 , 1B - 03,CL,75 , 1B , 03,CL 75 #1B- 03,3.4962472,-76.49372850000002
27,27,20014937,Micelanea Villa Laguna,Not Specified,COMUNA 18,Cali,Valle del Cauca,CRA 74 # 1 - 47,CRA 74 , 1 - 47,CRA,74 , 1 , 47,CRA 74 #1- 47,3.3901084000000004,-76.5544065
32,32,20014942,Rapi Exprees,Not Specified,COMUNA 19,Cali,Valle del Cauca,CR 62C#6A-39,CR 62C,6A-39,CR,62C,6A,39,CR 62C #6A-39,3.4025451,-76.5449517
33,33,20014943,Tienda La Sexta,Not Specified,COMUNA 1,Cali,Valle del Cauca,AV 6#22A-16,AV 6,22A-16,AV,6,22A,16,AV 6 #22A-16,3.4530623999999994,-76.5647054
34,34,20010235,Panadería El Encanto,Villa Del Lago,COMUNA 8,Cali,Valle del Cauca,CR 25BIS#70-04,CR 25BIS,70-04,CR,25BIS,70,04,CR 25BIS #70-04,3.447821,-76.489389
37,37,20014683,Su Despensa,Not Specified,COMUNA 19,Cali,Valle del Cauca,CR 23 # 03 - 59,CR 23 , 03 - 59,CR,23 , 03 , 59,CR 23 #03- 59,3.4390059999999996,-76.53828840000001
38,38,20014748,Salsamentaria Los Paolos,Not Specified,COMUNA 4,Cali,Valle del Cauca,CRA 3 # 46A - 39,CRA 3 , 46A - 39,CRA,3 , 46A , 39,CRA 3 #46A- 39,3.464613,-76.5043416
39,39,20014749,Salsamentaria Los Paolos,Not Specified,COMUNA 4,Cali,Valle del Cauca,CRA 3 # 46A - 39,CRA 3 , 46A - 39,CRA,3 , 46A , 39,CRA 3 #46A- 39,3.464613,-76.5043416
