,Unnamed: 0,Codigo,Nombre,Barrio,Comuna,Población,Departamento,Dirección,Street,Number,Street_Type,Street_Number,Number_partA,Number_partB,Dirección Geo,latitude,longitude
3,3,20007444,Julio,Aranjuez,ARANJUEZ,Medellin,Antioquia,CR 50C#93-119,CR 50C,93-119,CR,50C,93,119,CR 50C #93-119,6.2856888999999985,-75.55984690000001
4,4,20007452,Distribuidora 2,San Isidro,ARANJUEZ,Medellin,Antioquia,CR 53#93-68,CR 53,93-68,CR,53,93,68,CR 53 #93-68,6.285989900000001,-75.5629532
5,5,20007733,Paiz,Aranjuez,ARANJUEZ,Medellin,Antioquia,CR 50B#93-59,CR 50B,93-59,CR,50B,93,59,CR 50B #93-59,6.2851637999999985,-75.55923229999998
6,6,20009871,Tienda La Esquina,Not Specified,ARANJUEZ,Medellin,Antioquia,CL 96#52-71,CL 96,52-71,CL,96,52,71,CL 96 #52-71,6.2885849999999985,-75.56317659999998
12,12,20014922,Tienda Danna,Not Specified,ROBLEDO,Medellin,Antioquia,CR 95 A#70 GB-100 TORRE 38 APT,CR 95 A,70 GB-100 TORRE 38 APT,CR,95 A,70 GB,100 TORRE 38 APT,CR 95A #70GB-100 TORRE 38 APT,6.287601400000001,-75.5979849
13,13,20014923,Granero El Plan 2,Not Specified,SANTA CRUZ,Medellin,Antioquia,CR 49B#120-03,CR 49B,120-03,CR,49B,120,03,CR 49B #120-03,6.3042951999999985,-75.55113709999998
14,14,20014924,Tienda Doña Gloria,Not Specified,SANTA CRUZ,Medellin,Antioquia,CR 47#110-62,CR 47,110-62,CR,47,110,62,CR 47 #110-62,6.3001469000000005,-75.55028120000001
15,15,20014925,Mercados Rapunzel,Not Specified,EL POBLADO,Medellin,Antioquia,CL 70 GB#95-96  TORRE 31 APT 9,CL 70 GB,95-96  TORRE 31 APT 9,CL,70 GB,95,96  TORRE 31 APT 9,CL 70GB #95-96  TORRE 31 APT 9,6.2097013,-75.56958510000003
16,16,20014926,Yuri Donde Michel,Not Specified,EL POBLADO,Medellin,Antioquia,CL 70GA#95-28 TORRE 15 APT 960,CL 70GA,95-28 TORRE 15 APT 960,CL,70GA,95,28 TORRE 15 APT 960,CL 70GA #95-28 TORRE 15 APT 960,6.2097013,-75.56958510000003
17,17,20014927,La Esquina,Not Specified,CASTILLA,Medellin,Antioquia,CL 113CC # 63 - 30,CL 113CC , 63 - 30,CL,113CC , 63 , 30,CL 113CC #63- 30,6.3084375,-75.55884609999998
18,18,20014928,Super Tienda Los Lopez,Not Specified,EL POBLADO,Medellin,Antioquia,CL 70GA#95-138 TORRE 33 APT 97,CL 70GA,95-138 TORRE 33 APT 97,CL,70GA,95,138 TORRE 33 APT 97,CL 70GA #95-138 TORRE 33 APT 97,6.2129827,-75.5607848
19,19,20014929,La Tirnda V,Not Specified,SAN JAVIER,Medellin,Antioquia,CL 70G#95-115 TORRE 27 APT 960,CL 70G,95-115 TORRE 27 APT 960,CL,70G,95,115 TORRE 27 APT 960,CL 70G #95-115 TORRE 27 APT 960,6.2542535,-75.6257748
20,20,20014930,Tienda Sandra,Not Specified,POPULAR,Medellin,Antioquia,CRA 42C # 107E - 42,CRA 42C , 107E - 42,CRA,42C , 107E , 42,CRA 42C #107E- 42,6.2966571999999985,-75.5476918
21,21,20014931,Colibri,Not Specified,ARANJUEZ,Medellin,Antioquia,CL 70F#95-10 TORRE 1 APT 9602,CL 70F,95-10 TORRE 1 APT 9602,CL,70F,95,10 TORRE 1 APT 9602,CL 70F #95-10 TORRE 1 APT 9602,6.2676615,-75.56730900000002
22,22,20014932,Tienda La Curva,Not Specified,VILLA HERMOSA,Medellin,Antioquia,CL 56B#19-22,CL 56B,19-22,CL,56B,19,22,CL 56B #19-22,6.242433399999999,-75.54264789999998
